Part Number,ABC Class,Sales Date,Sales Quantity,Unit Cost,Unit Price,Marketing Spent,Discount Flag
Part_11818187,C,20121031,133,3.25,8.55,20,0
Part_11818187,C,20121130,118,3.25,8.55,33,0
Part_11818187,C,20121231,168,3.25,8.59,48,0
Part_11818187,C,20130131,113,2.92,8.55,30,0
Part_11818187,C,20130228,118,3.25,6.94,15,1
Part_11818187,C,20130331,169,3.25,8.55,24,0
Part_11818187,C,20130430,107,2.92,8.78,33,0
Part_11818187,C,20130531,144,3.25,8.55,42,0
Part_11818187,C,20130630,87,3.25,6.84,18,1
Part_11818187,C,20130731,147,2.92,6.84,18,1
Part_11818187,C,20130831,140,3.25,6.84,15,1
Part_11818187,C,20130930,224,3.25,9.17,36,0
Part_11818187,C,20131031,172,3.25,8.55,24,0
Part_11818187,C,20131130,80,2.92,8.55,21,0
Part_11818187,C,20131231,161,2.92,8.55,48,0
Part_11818187,C,20140131,176,3.25,8.55,54,0
Part_11818187,C,20140228,151,3.25,7.13,20,1
Part_11818187,C,20140331,149,3.25,8.55,21,0
Part_11818187,C,20140430,177,3.25,8.55,54,0
Part_11818187,C,20140531,181,3.25,8.55,51,0
Part_11818187,C,20140630,122,3.25,8.55,36,0
Part_11818187,C,20140731,133,3.25,6.84,15,1
Part_11818187,C,20140831,136,3.25,6.84,17,1
Part_11818187,C,20140930,173,3.25,8.55,26,0
Part_11818187,C,20141031,134,2.92,6.84,15,1
Part_11818187,C,20141130,140,3.25,8.69,42,0
Part_11818187,C,20141231,186,3.25,8.55,51,0
Part_11818187,C,20150131,140,3.25,8.55,39,0
Part_11818187,C,20150228,177,2.92,6.84,21,1
Part_11818187,C,20150331,147,3.25,8.55,23,0
Part_11818187,C,20150430,167,3.25,8.55,45,0
Part_12222205,A,20120131,3301,1.14,3.49,363,1
Part_12222205,A,20120229,2799,1.03,3.46,155,1
Part_12222205,A,20120331,3703,1.14,4.32,254,0
Part_12222205,A,20120430,3886,1.14,4.45,543,0
Part_12222205,A,20120531,4030,1.03,4.32,558,0
Part_12222205,A,20120630,3462,1.14,4.32,474,0
Part_12222205,A,20120731,3596,1.14,3.68,213,1
Part_12222205,A,20120831,3696,1.14,3.46,201,1
Part_12222205,A,20120930,3637,1.14,4.69,267,0
Part_12222205,A,20121031,4023,1.03,4.32,278,0
Part_12222205,A,20121130,3033,1.14,4.32,408,0
Part_12222205,A,20121231,3249,1.14,4.32,438,0
Part_12222205,A,20130131,4276,1.14,4.41,600,0
Part_12222205,A,20130228,3460,1.14,3.46,191,1
Part_12222205,A,20130331,2562,1.14,4.32,176,0
Part_12222205,A,20130430,3254,1.14,4.32,450,0
Part_12222205,A,20130531,3340,1.14,4.5,480,0
Part_12222205,A,20130630,3174,1.14,4.32,438,0
Part_12222205,A,20130731,3435,1.14,3.46,188,1
Part_12222205,A,20130831,3936,1.14,3.73,231,1
Part_12222205,A,20130930,3401,1.14,4.32,234,0
Part_12222205,A,20131031,2795,1.03,4.32,194,0
Part_12222205,A,20131130,3217,1.14,4.32,447,0
Part_12222205,A,20131231,3574,1.03,4.44,504,0
Part_12222205,A,20140131,3482,1.14,4.32,474,0
Part_12222205,A,20140228,3227,1.14,3.46,173,1
Part_12222205,A,20140331,3219,1.14,4.51,227,0
Part_12222205,A,20140430,3258,1.14,4.32,444,0
Part_12222205,A,20140531,2983,1.03,3.46,333,1
Part_12222205,A,20140630,3804,1.14,4.32,516,0
Part_12222205,A,20140731,3438,1.14,3.46,191,1
Part_12222205,A,20140831,3193,1.14,3.46,177,1
Part_12222205,A,20140930,3565,1.14,4.32,240,0
Part_12222205,A,20141031,2987,1.14,4.32,204,0
Part_12222205,A,20141130,3173,1.03,4.4,447,0
Part_12222205,A,20141231,3274,1.14,4.32,456,0
Part_12222205,A,20150131,3912,1.14,3.46,423,1
Part_12222205,A,20150228,2912,1.14,3.46,162,1
Part_12222205,A,20150331,3202,1.14,4.59,228,0
Part_12222205,A,20150430,3047,1.03,4.32,417,0
Part_11535331,B,20120131,1851,0.76,3.05,168,0
Part_11535331,B,20120229,1691,0.68,2.56,65,1
Part_11535331,B,20120331,1375,0.68,3.05,63,0
Part_11535331,B,20120430,1398,0.76,3.05,126,0
Part_11535331,B,20120531,1295,0.68,3.11,117,0
Part_11535331,B,20120630,2105,0.76,3.05,195,0
Part_11535331,B,20120731,1693,0.76,2.53,65,1
Part_11535331,B,20120831,1466,0.68,2.54,56,1
Part_11535331,B,20120930,1436,0.76,3.09,69,0
Part_11535331,B,20121031,1444,0.76,3.32,69,0
Part_11535331,B,20121130,1815,0.68,3.05,162,0
Part_11535331,B,20121231,1788,0.68,3.05,168,0
Part_11535331,B,20130131,2557,0.76,3.05,234,0
Part_11535331,B,20130228,1082,0.76,2.44,41,1
Part_11535331,B,20130331,1404,0.76,2.44,53,1
Part_11535331,B,20130430,1758,0.76,3.25,168,0
Part_11535331,B,20130531,1337,0.76,3.05,123,0
Part_11535331,B,20130630,1709,0.76,3.05,159,0
Part_11535331,B,20130731,1774,0.76,2.44,66,1
Part_11535331,B,20130831,1855,0.76,2.63,71,1
Part_11535331,B,20130930,1131,0.76,2.44,41,1
Part_11535331,B,20131031,1885,0.76,3.05,87,0
Part_11535331,B,20131130,1743,0.76,3.22,171,0
Part_11535331,B,20131231,1845,0.68,3.32,180,0
Part_11535331,B,20140131,1747,0.76,3.2,165,0
Part_11535331,B,20140228,1855,0.76,2.44,69,1
Part_11535331,B,20140331,1972,0.76,3.05,89,0
Part_11535331,B,20140430,1256,0.68,3.05,114,0
Part_11535331,B,20140531,1772,0.68,3.1,162,0
Part_11535331,B,20140630,1968,0.76,3.05,183,0
Part_11535331,B,20140731,1503,0.68,2.6,60,1
Part_11535331,B,20140831,1872,0.76,2.44,66,1
Part_11535331,B,20140930,1679,0.76,3.05,74,0
Part_11535331,B,20141031,1350,0.76,2.59,53,1
Part_11535331,B,20141130,1839,0.76,3.05,174,0
Part_11535331,B,20141231,2182,0.76,3.08,201,0
Part_11535331,B,20150131,1796,0.76,3.3,174,0
Part_11535331,B,20150228,1395,0.76,2.44,51,1
Part_11535331,B,20150331,1588,0.76,3.05,74,0
Part_11535331,B,20150430,1995,0.68,3.05,180,0
Part_11535330,B,20120131,3760,0.91,2.84,282,0
Part_11535330,B,20120229,2000,0.91,2.22,59,1
Part_11535330,B,20120331,1709,0.91,2.77,66,0
Part_11535330,B,20120430,2564,0.91,2.77,189,0
Part_11535330,B,20120531,2001,0.91,2.81,153,0
Part_11535330,B,20120630,1846,0.82,2.77,138,0
Part_11535330,B,20120731,1763,0.91,2.22,54,1
Part_11535330,B,20120831,1747,0.91,2.22,54,1
Part_11535330,B,20120930,2118,0.91,2.85,81,0
Part_11535330,B,20121031,1666,0.91,2.91,65,0
Part_11535330,B,20121130,2602,0.91,2.84,195,0
Part_11535330,B,20121231,2520,0.82,2.77,186,0
Part_11535330,B,20130131,2538,0.91,2.93,198,0
Part_11535330,B,20130228,1905,0.91,2.3,60,1
Part_11535330,B,20130331,1614,0.91,2.92,63,0
Part_11535330,B,20130430,1868,0.91,2.8,147,0
Part_11535330,B,20130531,2285,0.91,2.77,165,0
Part_11535330,B,20130630,1907,0.82,2.77,141,0
Part_11535330,B,20130731,2478,0.91,2.22,75,1
Part_11535330,B,20130831,1901,0.82,2.22,59,1
Part_11535330,B,20130930,2828,0.91,2.81,105,0
Part_11535330,B,20131031,2095,0.91,2.3,63,1
Part_11535330,B,20131130,2638,0.91,2.77,201,0
Part_11535330,B,20131231,2262,0.91,3.01,189,0
Part_11535330,B,20140131,1876,0.91,2.77,138,0
Part_11535330,B,20140228,2192,0.91,2.22,66,1
Part_11535330,B,20140331,2008,0.82,2.77,75,0
Part_11535330,B,20140430,2261,0.91,3,186,0
Part_11535330,B,20140531,1466,0.82,2.98,117,0
Part_11535330,B,20140630,2464,0.91,2.85,186,0
Part_11535330,B,20140731,2438,0.91,2.22,75,1
Part_11535330,B,20140831,2002,0.91,2.22,59,1
Part_11535330,B,20140930,1750,0.82,2.77,63,0
Part_11535330,B,20141031,2019,0.82,2.77,77,0
Part_11535330,B,20141130,2525,0.91,2.88,195,0
Part_11535330,B,20141231,2204,0.82,2.77,168,0
Part_11535330,B,20150131,2366,0.91,2.77,180,0
Part_11535330,B,20150228,1886,0.91,2.22,57,1
Part_11535330,B,20150331,1824,0.91,2.77,66,0
Part_11535330,B,20150430,2167,0.91,2.77,156,0
Part_11898953,B,20120131,865,0.79,3,78,0
Part_11898953,B,20120229,1423,0.79,2.27,50,1
Part_11898953,B,20120331,1060,0.79,2.84,48,0
Part_11898953,B,20120430,1265,0.79,2.84,114,0
Part_11898953,B,20120531,2113,0.79,2.84,189,0
Part_11898953,B,20120630,2113,0.79,3.03,195,0
Part_11898953,B,20120731,1372,0.79,2.43,53,1
Part_11898953,B,20120831,2646,0.72,2.27,95,1
Part_11898953,B,20120930,1693,0.79,2.84,75,0
Part_11898953,B,20121031,1748,0.79,2.84,77,0
Part_11898953,B,20121130,1272,0.79,2.84,111,0
Part_11898953,B,20121231,1351,0.79,3.1,132,0
Part_11898953,B,20130131,788,0.79,2.99,75,0
Part_11898953,B,20130228,1870,0.79,2.27,66,1
Part_11898953,B,20130331,1650,0.72,2.84,74,0
Part_11898953,B,20130430,2604,0.72,3.03,243,0
Part_11898953,B,20130531,2844,0.79,2.84,261,0
Part_11898953,B,20130630,1270,0.79,2.84,111,0
Part_11898953,B,20130731,3401,0.79,2.31,126,1
Part_11898953,B,20130831,2422,0.79,2.27,84,1
Part_11898953,B,20130930,2105,0.72,2.99,96,0
Part_11898953,B,20131031,2076,0.79,2.84,90,0
Part_11898953,B,20131130,1208,0.79,3.09,120,0
Part_11898953,B,20131231,1709,0.79,2.84,156,0
Part_11898953,B,20140131,2131,0.79,2.98,204,0
Part_11898953,B,20140228,1464,0.79,2.48,59,1
Part_11898953,B,20140331,1939,0.79,2.84,87,0
Part_11898953,B,20140430,2459,0.79,2.99,231,0
Part_11898953,B,20140531,4075,0.79,2.3,300,1
Part_11898953,B,20140630,3641,0.72,2.84,321,0
Part_11898953,B,20140731,2560,0.79,2.3,93,1
Part_11898953,B,20140831,2462,0.79,2.27,89,1
Part_11898953,B,20140930,1839,0.79,2.84,81,0
Part_11898953,B,20141031,2281,0.79,2.84,101,0
Part_11898953,B,20141130,2277,0.79,2.84,204,0
Part_11898953,B,20141231,1873,0.79,2.84,165,0
Part_11898953,B,20150131,2307,0.79,2.84,204,0
Part_11898953,B,20150228,2210,0.79,2.44,84,1
Part_11898953,B,20150331,2104,0.79,2.84,96,0
Part_11898953,B,20150430,2285,0.79,2.84,207,0
Part_12040457,C,20120131,245,1.53,7.56,78,0
Part_12040457,C,20120229,147,1.53,6.5,20,1
Part_12040457,C,20120331,241,1.7,7.56,38,0
Part_12040457,C,20120430,202,1.53,7.67,60,0
Part_12040457,C,20120531,213,1.7,7.73,66,0
Part_12040457,C,20120630,234,1.7,7.56,69,0
Part_12040457,C,20120731,192,1.7,6.05,24,1
Part_12040457,C,20120831,187,1.7,6.05,21,1
Part_12040457,C,20120930,208,1.7,8.06,35,0
Part_12040457,C,20121031,230,1.7,7.56,35,0
Part_12040457,C,20121130,186,1.7,7.56,57,0
Part_12040457,C,20121231,164,1.7,7.88,48,0
Part_12040457,C,20130131,215,1.7,7.56,63,0
Part_12040457,C,20130228,220,1.7,6.05,26,1
Part_12040457,C,20130331,110,1.7,7.9,17,0
Part_12040457,C,20130430,206,1.7,7.56,63,0
Part_12040457,C,20130531,236,1.7,6.05,57,1
Part_12040457,C,20130630,175,1.53,7.93,54,0
Part_12040457,C,20130731,156,1.7,6.18,20,1
Part_12040457,C,20130831,91,1.53,6.6,12,1
Part_12040457,C,20130930,227,1.53,7.64,36,0
Part_12040457,C,20131031,248,1.7,7.56,38,0
Part_12040457,C,20131130,180,1.7,7.56,51,0
Part_12040457,C,20131231,188,1.53,7.56,57,0
Part_12040457,C,20140131,134,1.7,8.05,42,0
Part_12040457,C,20140228,172,1.7,6.28,21,1
Part_12040457,C,20140331,187,1.7,7.56,29,0
Part_12040457,C,20140430,223,1.7,6.05,57,1
Part_12040457,C,20140531,129,1.7,6.05,30,1
Part_12040457,C,20140630,147,1.7,7.56,42,0
Part_12040457,C,20140731,167,1.53,6.05,20,1
Part_12040457,C,20140831,121,1.53,6.05,14,1
Part_12040457,C,20140930,147,1.7,6.4,18,1
Part_12040457,C,20141031,184,1.7,6.05,23,1
Part_12040457,C,20141130,134,1.7,7.73,39,0
Part_12040457,C,20141231,193,1.7,7.56,57,0
Part_12040457,C,20150131,153,1.7,7.56,45,0
Part_12040457,C,20150228,155,1.7,6.14,20,1
Part_12040457,C,20150331,187,1.53,7.56,27,0
Part_12040457,C,20150430,153,1.7,7.56,48,0
Part_12040454,B,20120131,3618,0.89,2.33,303,0
Part_12040454,B,20120229,3419,0.99,1.89,116,1
Part_12040454,B,20120331,3851,0.99,2.29,161,0
Part_12040454,B,20120430,3292,0.99,2.45,288,0
Part_12040454,B,20120531,3585,0.99,2.23,291,0
Part_12040454,B,20120630,3656,0.99,2.29,297,0
Part_12040454,B,20120731,4116,0.99,1.9,140,1
Part_12040454,B,20120831,3935,0.89,1.85,129,1
Part_12040454,B,20120930,3929,0.99,2.23,158,0
Part_12040454,B,20121031,3754,0.99,2.23,153,0
Part_12040454,B,20121130,3784,0.89,2.23,303,0
Part_12040454,B,20121231,3881,0.99,2.23,312,0
Part_12040454,B,20130131,4120,0.99,2.23,333,0
Part_12040454,B,20130228,2860,0.99,1.82,93,1
Part_12040454,B,20130331,3936,0.99,2.23,158,0
Part_12040454,B,20130430,3731,0.99,2.28,306,0
Part_12040454,B,20130531,3632,0.99,2.23,297,0
Part_12040454,B,20130630,3566,0.99,2.37,306,0
Part_12040454,B,20130731,4508,0.99,1.78,144,1
Part_12040454,B,20130831,4413,0.99,1.78,138,1
Part_12040454,B,20130930,3897,0.99,2.23,156,0
Part_12040454,B,20131031,4741,0.99,2.23,188,0
Part_12040454,B,20131130,3529,0.99,2.27,294,0
Part_12040454,B,20131231,4568,0.99,2.23,363,0
Part_12040454,B,20140131,4414,0.99,2.39,381,0
Part_12040454,B,20140228,3518,0.89,1.78,113,1
Part_12040454,B,20140331,3700,0.99,2.23,152,0
Part_12040454,B,20140430,3634,0.99,2.23,288,0
Part_12040454,B,20140531,3367,0.99,2.23,270,0
Part_12040454,B,20140630,3543,0.99,2.23,279,0
Part_12040454,B,20140731,4290,0.89,1.93,146,1
Part_12040454,B,20140831,3648,0.99,1.78,119,1
Part_12040454,B,20140930,3719,0.99,2.23,153,0
Part_12040454,B,20141031,3641,0.99,2.23,146,0
Part_12040454,B,20141130,3812,0.99,2.23,312,0
Part_12040454,B,20141231,3579,0.99,2.23,291,0
Part_12040454,B,20150131,4633,0.89,2.23,366,0
Part_12040454,B,20150228,3163,0.99,1.78,104,1
Part_12040454,B,20150331,3324,0.99,2.23,132,0
Part_12040454,B,20150430,3753,0.99,2.23,300,0
Part_12202029,B,20120131,1526,0.76,3.71,153,0
Part_12202029,B,20120229,1298,0.76,3.14,54,1
Part_12202029,B,20120331,1139,0.76,2.86,44,1
Part_12202029,B,20120430,1477,0.76,3.82,153,0
Part_12202029,B,20120531,1420,0.76,3.58,141,0
Part_12202029,B,20120630,1026,0.76,3.93,108,0
Part_12202029,B,20120731,1508,0.76,2.86,57,1
Part_12202029,B,20120831,1465,0.76,2.86,59,1
Part_12202029,B,20120930,1141,0.76,3.58,56,0
Part_12202029,B,20121031,1233,0.76,3.58,62,0
Part_12202029,B,20121130,1180,0.76,3.91,120,0
Part_12202029,B,20121231,1352,0.76,3.79,135,0
Part_12202029,B,20130131,1299,0.76,3.58,129,0
Part_12202029,B,20130228,1030,0.76,2.86,38,1
Part_12202029,B,20130331,1024,0.76,2.86,39,1
Part_12202029,B,20130430,1154,0.76,3.58,108,0
Part_12202029,B,20130531,984,0.76,3.58,93,0
Part_12202029,B,20130630,946,0.76,3.81,93,0
Part_12202029,B,20130731,1111,0.76,2.86,42,1
Part_12202029,B,20130831,1185,0.76,2.86,45,1
Part_12202029,B,20130930,1123,0.76,3.7,54,0
Part_12202029,B,20131031,1014,0.76,3.87,51,0
Part_12202029,B,20131130,1021,0.76,3.58,99,0
Part_12202029,B,20131231,1137,0.68,3.61,105,0
Part_12202029,B,20140131,1127,0.76,3.73,117,0
Part_12202029,B,20140228,1087,0.76,2.86,41,1
Part_12202029,B,20140331,858,0.76,3.58,42,0
Part_12202029,B,20140430,997,0.76,3.58,96,0
Part_12202029,B,20140531,809,0.76,3.65,78,0
Part_12202029,B,20140630,835,0.76,3.64,81,0
Part_12202029,B,20140731,1209,0.76,2.93,48,1
Part_12202029,B,20140831,892,0.76,2.86,33,1
Part_12202029,B,20140930,1118,0.76,3.75,59,0
Part_12202029,B,20141031,918,0.76,3.58,44,0
Part_12202029,B,20141130,969,0.76,3.58,93,0
Part_12202029,B,20141231,1323,0.76,3.58,126,0
Part_12202029,B,20150131,1168,0.76,3.73,120,0
Part_12202029,B,20150228,838,0.76,2.86,33,1
Part_12202029,B,20150331,1024,0.76,3.58,48,0
Part_12202029,B,20150430,910,0.76,3.58,84,0
Part_12202028,A,20120131,29779,0.31,1.15,1074,0
Part_12202028,A,20120229,21482,0.31,0.92,309,1
Part_12202028,A,20120331,26056,0.28,0.97,399,1
Part_12202028,A,20120430,24787,0.31,1.15,909,0
Part_12202028,A,20120531,25748,0.31,1.2,981,0
Part_12202028,A,20120630,26632,0.31,1.15,969,0
Part_12202028,A,20120731,28422,0.28,0.99,441,1
Part_12202028,A,20120831,24837,0.31,0.98,383,1
Part_12202028,A,20120930,23895,0.31,0.92,350,1
Part_12202028,A,20121031,25978,0.31,1.15,468,0
Part_12202028,A,20121130,27396,0.31,1.22,1062,0
Part_12202028,A,20121231,29462,0.31,1.15,1065,0
Part_12202028,A,20130131,24175,0.28,1.15,870,0
Part_12202028,A,20130228,21808,0.31,0.92,312,1
Part_12202028,A,20130331,19947,0.31,1.2,377,0
Part_12202028,A,20130430,21991,0.28,1.15,804,0
Part_12202028,A,20130531,19638,0.31,1.24,768,0
Part_12202028,A,20130630,18787,0.31,1.15,690,0
Part_12202028,A,20130731,23318,0.31,1,372,1
Part_12202028,A,20130831,25546,0.31,0.95,381,1
Part_12202028,A,20130930,22694,0.31,1.15,413,0
Part_12202028,A,20131031,21726,0.31,1.17,404,0
Part_12202028,A,20131130,20349,0.31,1.15,735,0
Part_12202028,A,20131231,27076,0.31,0.92,789,1
Part_12202028,A,20140131,21947,0.31,1.15,804,0
Part_12202028,A,20140228,18527,0.28,0.92,270,1
Part_12202028,A,20140331,20847,0.31,1.15,383,0
Part_12202028,A,20140430,20080,0.31,1.15,723,0
Part_12202028,A,20140531,18595,0.31,1.15,672,0
Part_12202028,A,20140630,21262,0.31,1.15,765,0
Part_12202028,A,20140731,24329,0.31,0.95,369,1
Part_12202028,A,20140831,20105,0.31,0.92,296,1
Part_12202028,A,20140930,23860,0.31,1.26,473,0
Part_12202028,A,20141031,24004,0.31,1.25,470,0
Part_12202028,A,20141130,20496,0.31,1.15,750,0
Part_12202028,A,20141231,25825,0.31,1.21,993,0
Part_12202028,A,20150131,21703,0.31,1.15,786,0
Part_12202028,A,20150228,19020,0.31,0.93,275,1
Part_12202028,A,20150331,21505,0.31,1.15,390,0
Part_12202028,A,20150430,18095,0.31,1.15,666,0
Part_11727221,C,20120131,203,2.15,6.53,48,0
Part_11727221,C,20120229,286,2.15,5.22,29,1
Part_11727221,C,20120331,281,1.93,6.53,35,0
Part_11727221,C,20120430,229,2.15,6.53,57,0
Part_11727221,C,20120531,273,2.15,6.7,69,0
Part_11727221,C,20120630,273,1.93,6.53,69,0
Part_11727221,C,20120731,312,1.93,5.22,30,1
Part_11727221,C,20120831,228,1.93,5.22,21,1
Part_11727221,C,20120930,205,2.15,5.22,18,1
Part_11727221,C,20121031,270,2.15,6.53,33,0
Part_11727221,C,20121130,115,2.15,6.53,27,0
Part_11727221,C,20121231,248,2.15,6.53,57,0
Part_11727221,C,20130131,288,2.15,6.53,72,0
Part_11727221,C,20130228,249,1.93,5.22,24,1
Part_11727221,C,20130331,266,1.93,6.53,32,0
Part_11727221,C,20130430,298,2.15,6.53,72,0
Part_11727221,C,20130531,265,2.15,6.98,72,0
Part_11727221,C,20130630,200,2.15,5.22,39,1
Part_11727221,C,20130731,293,2.15,5.22,29,1
Part_11727221,C,20130831,239,2.15,5.37,24,1
Part_11727221,C,20130930,267,1.93,6.53,32,0
Part_11727221,C,20131031,167,2.15,6.53,20,0
Part_11727221,C,20131130,185,2.15,5.22,33,1
Part_11727221,C,20131231,234,2.15,6.63,57,0
Part_11727221,C,20140131,299,2.15,7.05,75,0
Part_11727221,C,20140228,197,2.15,5.22,20,1
Part_11727221,C,20140331,312,2.15,5.22,32,1
Part_11727221,C,20140430,291,2.15,6.53,69,0
Part_11727221,C,20140531,277,1.93,6.53,69,0
Part_11727221,C,20140630,311,2.15,6.53,75,0
Part_11727221,C,20140731,295,2.15,5.62,30,1
Part_11727221,C,20140831,329,2.15,5.59,33,1
Part_11727221,C,20140930,226,2.15,6.53,27,0
Part_11727221,C,20141031,219,2.15,6.53,27,0
Part_11727221,C,20141130,263,2.15,6.59,66,0
Part_11727221,C,20141231,231,2.15,6.53,57,0
Part_11727221,C,20150131,263,1.93,6.55,66,0
Part_11727221,C,20150228,317,2.15,5.65,33,1
Part_11727221,C,20150331,271,2.15,6.53,32,0
Part_11727221,C,20150430,320,2.15,6.53,81,0
Part_11767623,C,20120131,104,1.57,8.8,51,0
Part_11767623,C,20120229,94,1.74,7.23,20,1
Part_11767623,C,20120331,110,1.74,8.8,27,0
Part_11767623,C,20120430,107,1.74,8.8,54,0
Part_11767623,C,20120531,158,1.74,8.8,75,0
Part_11767623,C,20120630,123,1.74,8.8,60,0
Part_11767623,C,20120731,139,1.57,7.04,27,1
Part_11767623,C,20120831,147,1.74,7.04,30,1
Part_11767623,C,20120930,123,1.74,8.8,30,0
Part_11767623,C,20121031,135,1.74,8.8,33,0
Part_11767623,C,20121130,146,1.74,9.42,78,0
Part_11767623,C,20121231,69,1.57,8.8,33,0
Part_11767623,C,20130131,100,1.74,8.92,51,0
Part_11767623,C,20130228,117,1.74,7.04,24,1
Part_11767623,C,20130331,103,1.74,9.61,29,0
Part_11767623,C,20130430,131,1.74,7.04,54,1
Part_11767623,C,20130531,154,1.74,9.34,81,0
Part_11767623,C,20130630,130,1.74,7.04,51,1
Part_11767623,C,20130731,161,1.74,7.04,32,1
Part_11767623,C,20130831,100,1.57,7.04,20,1
Part_11767623,C,20130930,134,1.74,8.8,33,0
Part_11767623,C,20131031,148,1.57,7.35,30,1
Part_11767623,C,20131130,105,1.74,8.8,54,0
Part_11767623,C,20131231,101,1.57,8.8,48,0
Part_11767623,C,20140131,134,1.74,8.8,66,0
Part_11767623,C,20140228,105,1.74,7.07,21,1
Part_11767623,C,20140331,115,1.57,8.8,30,0
Part_11767623,C,20140430,147,1.74,8.8,72,0
Part_11767623,C,20140531,147,1.74,8.8,75,0
Part_11767623,C,20140630,171,1.74,7.14,69,1
Part_11767623,C,20140731,145,1.74,7.23,30,1
Part_11767623,C,20140831,127,1.74,7.04,26,1
Part_11767623,C,20140930,143,1.74,8.8,35,0
Part_11767623,C,20141031,147,1.74,8.8,38,0
Part_11767623,C,20141130,143,1.74,9.39,78,0
Part_11767623,C,20141231,113,1.74,8.8,57,0
Part_11767623,C,20150131,134,1.74,8.8,66,0
Part_11767623,C,20150228,108,1.74,7.69,24,1
Part_11767623,C,20150331,154,1.57,8.8,39,0
Part_11767623,C,20150430,133,1.74,8.8,66,0
Part_11858545,B,20120131,926,2.82,7.65,240,0
Part_11858545,B,20120229,738,2.82,6.12,80,1
Part_11858545,B,20120331,776,2.82,7.65,104,0
Part_11858545,B,20120430,746,2.82,7.65,198,0
Part_11858545,B,20120531,902,2.82,7.82,249,0
Part_11858545,B,20120630,932,2.82,8.14,267,0
Part_11858545,B,20120731,1270,2.82,6.12,137,1
Part_11858545,B,20120831,1420,2.82,6.12,153,1
Part_11858545,B,20120930,1641,2.54,7.65,218,0
Part_11858545,B,20121031,1373,2.82,7.65,179,0
Part_11858545,B,20121130,1402,2.82,7.8,381,0
Part_11858545,B,20121231,990,2.82,7.65,264,0
Part_11858545,B,20130131,1126,2.82,7.8,303,0
Part_11858545,B,20130228,844,2.54,6.12,92,1
Part_11858545,B,20130331,1016,2.82,7.65,137,0
Part_11858545,B,20130430,1085,2.54,7.65,285,0
Part_11858545,B,20130531,1172,2.82,8.12,333,0
Part_11858545,B,20130630,976,2.82,6.12,207,1
Part_11858545,B,20130731,1509,2.54,6.12,158,1
Part_11858545,B,20130831,1162,2.82,6.12,122,1
Part_11858545,B,20130930,1136,2.82,7.65,147,0
Part_11858545,B,20131031,1124,2.82,8.21,162,0
